game_id,timestamp,secret_word,winner_side,mister_white_player,mister_white_provider,mister_white_model,eliminated_player,eliminated_provider,eliminated_model,total_votes_cast,vote_counts_json
93,2025-09-17T00:54:23.848966,volume,mister_white,Emily,mistral,mistral-large-latest,Martin,mistral,mistral-tiny,5,"{'Martin': 4, 'Sarah': 1}"
94,2025-09-17T00:55:29.063352,terminal,mister_white,Emily,mistral,mistral-tiny,John,mistral,mistral-medium-latest,5,"{'John': 3, 'Lucas': 1, 'Emily': 1}"
95,2025-09-17T00:55:38.726564,orbit,mister_white,Emily,mistral,open-mixtral-8x22b,Lucas,mistral,mistral-small-latest,5,"{'Lucas': 4, 'Sarah': 1}"
96,2025-09-17T00:56:37.703601,orbit,citizens,Emily,mistral,mistral-small-latest,Emily,mistral,mistral-small-latest,5,{'Emily': 5}
97,2025-09-17T00:57:48.757164,bond,mister_white,Emily,mistral,mistral-medium-latest,John,mistral,mistral-tiny,5,{'John': 5}
98,2025-09-17T00:58:09.451249,seal,mister_white,Emily,mistral,mistral-large-latest,Martin,mistral,mistral-tiny,5,{'Martin': 5}
99,2025-09-17T00:59:54.258897,cell,citizens,Emily,mistral,mistral-tiny,Emily,mistral,mistral-tiny,5,"{'Emily': 4, 'Lucas': 1}"
100,2025-09-17T01:00:07.888845,scale,citizens,Emily,mistral,open-mixtral-8x22b,Emily,mistral,open-mixtral-8x22b,5,{'Emily': 5}
101,2025-09-17T01:00:55.743342,spring,mister_white,Emily,mistral,mistral-small-latest,Lucas,mistral,mistral-tiny,5,"{'Lucas': 3, 'Emily': 2}"
102,2025-09-17T01:01:09.070137,circuit,mister_white,Emily,mistral,mistral-medium-latest,John,mistral,mistral-tiny,5,"{'John': 3, 'Emily': 1, 'Lucas': 1}"
103,2025-09-17T01:02:30.121045,spring,mister_white,Emily,mistral,mistral-large-latest,Martin,mistral,mistral-tiny,5,"{'Emily': 2, 'Martin': 3}"
104,2025-09-17T01:02:48.554952,mold,citizens,Emily,mistral,mistral-tiny,Emily,mistral,mistral-tiny,5,{'Emily': 5}
105,2025-09-17T01:04:34.446191,car,citizens,Emily,mistral,open-mixtral-8x22b,Emily,mistral,open-mixtral-8x22b,5,{'Emily': 5}
106,2025-09-17T01:06:03.280956,circuit,citizens,Emily,mistral,mistral-small-latest,Emily,mistral,mistral-small-latest,5,"{'Sarah': 1, 'Emily': 4}"
107,2025-09-17T01:06:13.998269,mold,citizens,Emily,mistral,mistral-medium-latest,Emily,mistral,mistral-medium-latest,5,"{'Emily': 3, 'John': 2}"
108,2025-09-17T01:07:12.616894,trunk,mister_white,Emily,mistral,mistral-large-latest,Sarah,mistral,open-mixtral-8x22b,5,"{'Sarah': 4, 'Lucas': 1}"
109,2025-09-17T01:07:40.234471,crane,mister_white,Emily,mistral,mistral-tiny,Lucas,mistral,mistral-small-latest,5,"{'Lucas': 3, 'Emily': 2}"
110,2025-09-17T01:07:49.352833,mole,citizens,Emily,mistral,open-mixtral-8x22b,Emily,mistral,open-mixtral-8x22b,5,{'Emily': 5}
111,2025-09-17T01:09:36.915944,root,mister_white,Emily,mistral,mistral-small-latest,Lucas,mistral,mistral-tiny,5,"{'Lucas': 3, 'Sarah': 2}"
112,2025-09-17T01:09:56.076575,bank,citizens,Emily,mistral,mistral-medium-latest,Emily,mistral,mistral-medium-latest,5,"{'Emily': 4, 'Sarah': 1}"
113,2025-09-17T01:10:08.959617,model,mister_white,Emily,mistral,mistral-large-latest,Sarah,mistral,open-mixtral-8x22b,5,"{'Sarah': 3, 'Emily': 1, 'Lucas': 1}"
114,2025-09-17T01:11:03.919001,car,citizens,Emily,mistral,mistral-tiny,Emily,mistral,mistral-tiny,5,"{'Emily': 4, 'John': 1}"
115,2025-09-17T01:11:12.420871,trunk,mister_white,Emily,mistral,open-mixtral-8x22b,Lucas,mistral,mistral-small-latest,5,"{'Lucas': 4, 'Sarah': 1}"
116,2025-09-17T01:12:36.301968,bug,mister_white,Emily,mistral,mistral-small-latest,Sarah,mistral,open-mixtral-8x22b,5,{'Sarah': 5}
117,2025-09-17T01:13:40.954325,field,citizens,Emily,mistral,mistral-medium-latest,Emily,mistral,mistral-medium-latest,5,"{'Emily': 4, 'Sarah': 1}"
118,2025-09-17T01:14:23.215281,trunk,mister_white,Emily,mistral,mistral-large-latest,Sarah,mistral,open-mixtral-8x22b,5,"{'Sarah': 3, 'John': 2}"
119,2025-09-17T01:14:34.663443,mold,citizens,Emily,mistral,mistral-tiny,Emily,mistral,mistral-tiny,5,{'Emily': 5}
120,2025-09-17T01:15:18.582367,bug,mister_white,Emily,mistral,open-mixtral-8x22b,Martin,mistral,mistral-large-latest,5,"{'Martin': 3, 'John': 1, 'Sarah': 1}"
121,2025-09-17T01:16:04.010703,kernel,citizens,Emily,mistral,mistral-small-latest,Emily,mistral,mistral-small-latest,5,{'Emily': 5}
122,2025-09-17T01:16:14.737060,War,mister_white,Emily,mistral,mistral-medium-latest,John,mistral,mistral-tiny,5,"{'John': 4, '**John**': 1}"
123,2025-09-17T01:16:50.503292,kernel,mister_white,Emily,mistral,mistral-large-latest,Sarah,mistral,open-mixtral-8x22b,5,{'Sarah': 5}
124,2025-09-17T01:18:48.700717,Neuroscience,citizens,Emily,mistral,mistral-tiny,Emily,mistral,mistral-tiny,5,{'Emily': 5}
125,2025-09-17T01:19:16.783058,mole,citizens,Emily,mistral,open-mixtral-8x22b,Emily,mistral,open-mixtral-8x22b,5,{'Emily': 5}
126,2025-09-17T01:19:51.878811,trunk,mister_white,Emily,mistral,mistral-small-latest,Martin,mistral,mistral-large-latest,5,"{'Martin': 3, 'Lucas': 2}"
127,2025-09-17T01:20:07.746438,token,mister_white,Emily,mistral,mistral-medium-latest,Lucas,mistral,mistral-small-latest,5,"{'Lucas': 3, 'Sarah': 2}"
128,2025-09-17T01:20:23.806806,France,citizens,Emily,mistral,mistral-large-latest,Emily,mistral,mistral-large-latest,5,"{'Emily': 4, 'Sarah': 1}"
129,2025-09-17T01:20:33.584328,trunk,citizens,Emily,mistral,mistral-tiny,Emily,mistral,mistral-tiny,5,"{'Emily': 3, 'Sarah': 1, 'Lucas': 1}"
130,2025-09-17T01:21:27.251804,circuit,mister_white,Emily,mistral,open-mixtral-8x22b,Lucas,mistral,mistral-small-latest,5,"{'Emily': 2, 'Lucas': 3}"
131,2025-09-17T01:21:46.234813,matrix,mister_white,Emily,mistral,mistral-small-latest,Lucas,mistral,mistral-tiny,5,"{'Lucas': 3, 'Sarah': 2}"
132,2025-09-17T01:21:54.425911,charge,mister_white,Emily,mistral,mistral-medium-latest,Sarah,mistral,open-mixtral-8x22b,5,{'Sarah': 5}
133,2025-09-17T01:22:04.260817,volume,mister_white,Emily,mistral,mistral-large-latest,Martin,mistral,mistral-tiny,5,"{'Martin': 2, 'Emily': 2, 'Sarah': 1}"
134,2025-09-17T01:23:45.326957,terminal,citizens,Emily,mistral,mistral-tiny,Emily,mistral,mistral-tiny,5,{'Emily': 5}
135,2025-09-17T01:23:54.749129,model,citizens,Emily,mistral,open-mixtral-8x22b,Emily,mistral,open-mixtral-8x22b,5,"{'Lucas': 2, 'Emily': 3}"
136,2025-09-17T01:24:06.315976,chord,mister_white,Emily,mistral,mistral-small-latest,Lucas,mistral,mistral-tiny,5,"{'Sarah': 1, 'Lucas': 3, 'Martin': 1}"
137,2025-09-17T01:24:16.046183,token,mister_white,Emily,mistral,mistral-medium-latest,Sarah,mistral,open-mixtral-8x22b,5,"{'Sarah': 4, 'Martin': 1}"
138,2025-09-17T01:25:07.879145,Generosity,citizens,Emily,mistral,mistral-large-latest,Emily,mistral,mistral-large-latest,5,"{'Emily': 4, 'Sarah': 1}"
