game_id,timestamp,secret_word,winner_side,mister_white_player,mister_white_provider,mister_white_model,eliminated_player,eliminated_provider,eliminated_model,total_votes_cast,vote_counts_json
175,2025-09-17T01:35:51.965320,apple,mister_white,Emily,mistral,open-mixtral-8x22b,Lucas,mistral,mistral-small-latest,5,"{'Martin': 2, 'Lucas': 3}"
176,2025-09-17T01:37:37.811781,channel,mister_white,Emily,mistral,mistral-small-latest,Sarah,mistral,open-mixtral-8x22b,5,"{'Sarah': 4, 'Emily': 1}"
177,2025-09-17T01:37:51.835190,car,citizens,Emily,mistral,mistral-medium-latest,Emily,mistral,mistral-medium-latest,5,"{'Emily': 4, 'Sarah': 1}"
178,2025-09-17T01:38:01.671385,bank,citizens,Emily,mistral,mistral-large-latest,Emily,mistral,mistral-large-latest,5,{'Emily': 5}
179,2025-09-17T01:38:49.489254,bark,mister_white,Emily,mistral,mistral-tiny,Martin,mistral,mistral-large-latest,5,"{'Martin': 4, 'John': 1}"
180,2025-09-17T01:39:08.134627,seal,mister_white,Emily,mistral,open-mixtral-8x22b,Sarah,mistral,mistral-tiny,5,"{'Sarah': 4, 'Emily': 1}"
181,2025-09-17T01:40:03.063799,spring,mister_white,Emily,mistral,mistral-small-latest,Sarah,mistral,open-mixtral-8x22b,5,"{'Sarah': 3, 'Emily': 2}"
182,2025-09-17T01:40:18.168235,circuit,mister_white,Emily,mistral,mistral-medium-latest,Lucas,mistral,mistral-small-latest,5,"{'Lucas': 4, 'Martin': 1}"
183,2025-09-17T01:40:28.103731,channel,mister_white,Emily,mistral,mistral-large-latest,John,mistral,mistral-medium-latest,5,"{'John': 3, 'Emily': 1, 'Sarah': 1}"
184,2025-09-17T01:41:24.730061,Pillow,citizens,Emily,mistral,mistral-tiny,Emily,mistral,mistral-tiny,5,"{'Emily': 4, 'Martin': 1}"
185,2025-09-17T01:42:11.728580,mole,citizens,Emily,mistral,open-mixtral-8x22b,Emily,mistral,open-mixtral-8x22b,5,"{'Lucas': 1, 'Emily': 2, 'Sarah': 2}"
186,2025-09-17T01:42:21.114037,bark,mister_white,Emily,mistral,mistral-small-latest,Sarah,mistral,open-mixtral-8x22b,5,"{'Sarah': 3, 'Lucas': 1, '**Lucas**': 1}"
